PSA,PSA Code,Street,City,State,Zip,Address_Unformatted,Latitude,Longitude,Address,confidence,confidence_city_level,confidence_street_level
Detroit Collegiate High School,82764,3100 Elmwood St,Detroit,MI,48207,"3100 Elmwood St, Detroit, MI 48207",42.356493,-83.025479,"3100 Elmwood Street, Detroit, MI 48207, United States of America",1,1,1
Detroit Community Schools,82925,12675 Burt Rd,Detroit,MI,48223,"12675 Burt Rd, Detroit, MI 48223",42.38010728,-83.24655032,"12675 Burt Road, Detroit, MI 48223, United States of America",1,1,1
Detroit Delta Preparatory Academy for Social Justice,82714,3550 John C Lodge Fwy,Detroit,MI,48201,"3550 John C Lodge Fwy, Detroit, MI 48201",42.34368935,-83.06853101,"3550 John C Lodge Freeway, Detroit, MI 48201, United States of America",1,1,1
Detroit Edison Public School Academy,82945,1903 Wilkins St,Detroit,MI,48207,"1903 Wilkins St, Detroit, MI 48207",42.3529801,-83.03777257,"1903 Wilkins Street, Detroit, MI 48207, United States of America",1,1,1
Detroit Enterprise Academy,82979,11224 Kercheval St,Detroit,MI,48214,"11224 Kercheval St, Detroit, MI 48214",42.3689149,-82.97315378,"11224 Kercheval Street, Detroit, MI 48214, United States of America",1,1,1
Detroit Innovation Academy,82739,18211 Plymouth Rd,Detroit,MI,48228,"18211 Plymouth Rd, Detroit, MI 48228",42.37214596,-83.2182748,"18211 Plymouth Road, Detroit, MI 48228, United States of America",1,1,1
Detroit Leadership Academy,82722,13550 Virgil St,Detroit,MI,48223,"13550 Virgil St, Detroit, MI 48223",42.38396769,-83.27094813,"13550 Virgil Street, Detroit, MI 48223, United States of America",1,1,1
Detroit Merit Charter Academy,82974,1091 Alter Rd,Detroit,MI,48215,"1091 Alter Rd, Detroit, MI 48215",42.37546491,-82.94004527,"1091 Alter Road, Detroit, MI 48215, United States of America",1,1,1
Detroit Midtown Academy,82964,950 Selden St,Detroit,MI,48201,"950 Selden St, Detroit, MI 48201",42.34630902,-83.06833806,"950 Selden Street, Detroit, MI 48201, United States of America",1,1,1
Detroit Premier Academy,82985,7781 Asbury Park,Detroit,MI,48228,"7781 Asbury Park, Detroit, MI 48228",42.34901156,-83.20600204,"7781 Asbury Park, Detroit, MI 48228, United States of America",1,1,1
Detroit Prep,82761,2411 Iroquois,Detroit,MI,48214,"2411 Iroquois, Detroit, MI 48214",42.362251,-82.997891,"2411 Iroquois, Detroit, MI 48214, United States of America",1,1,1
Detroit Public Safety Academy,82704,1250 Rosa Parks Blvd,Detroit,MI,48216,"1250 Rosa Parks Blvd, Detroit, MI 48216",42.3251629,-83.06735949,"1250 Rosa Parks Boulevard, Detroit, MI 48216, United States of America",1,1,1
Detroit Service Learning Academy,82953,21605 W 7 Mile Rd,Detroit,MI,48219,"21605 W 7 Mile Rd, Detroit, MI 48219",42.42908422,-83.25614027,"21605 West 7 Mile Road, Detroit, MI 48219, United States of America",1,1,1
Discovery Arts and Technology PSA,82988,27355 Woodsfield St,Inkster,MI,48141,"27355 Woodsfield St, Inkster, MI 48141",42.30740127,-83.30973833,"27355 Woodsfield, Inkster, MI 48141, United States of America",0.9,1,0.9
Discovery Creative Pathways,82763,19360 Harper Ave,Harper Woods,MI,48225,"19360 Harper Ave, Harper Woods, MI 48225",42.42791518,-82.92551411,"19360 Harper Avenue, Harper Woods, MI 48225, United States of America",1,1,1
Discovery Elementary School,3901,P.O. Box 990,Fennville,MI,49408,"P.O. Box 990, Fennville, MI 49408",42.5941052,-86.1045955,"Fennville, MI, United States of America",1,1,
Dove Academy of Detroit,82930,20001 Wexford St,Detroit,MI,48234,"20001 Wexford St, Detroit, MI 48234",42.44160377,-83.06574214,"20001 Wexford Street, Detroit, MI 48234, United States of America",1,1,1
Dr. Charles Drew Academy,82984,50 West Josephine St,Ecorse,MI,48229,"50 West Josephine St, Ecorse, MI 48229",42.25109894,-83.14392129,"50 West Josephine Street, Ecorse, MI 48229, United States of America",1,1,1
Dr. Joseph F. Pollack Academic Center of Excellence,63910,23777 Southfield Rd,Southfield,MI,48075,"23777 Southfield Rd, Southfield, MI 48075",42.465521,-83.222081,"23777 Southfield Road, Southfield, MI 48075, United States of America",1,1,1
