District Code,District,Street,City,City,Zip,Address,Latitude,Longitude,Address_formatted,confidence,confidence_city_level,confidence_street_level
33912,"Learn, Live, Lead Academy",3000 W. Miller Road,Lansing,MI,48910,"3000 W. Miller Road, Lansing, MI 48910",42.669772,-84.590645,"3000 West Miller Road, Lansing, MI 48911, United States of America",1,1,1
33913,NexTech High School of Lansing,2175 University Park Drive,Okemos,MI,48864,"2175 University Park Drive, Okemos, MI 48864",42.67997163,-84.42850304,"2175 University Park Drive, Alaiedon Township, MI 48864, United States of America",1,1,1
33914,Great Lakes Learning Academy,2875 Eyde Pkwy,East Lansing,MI,48823,"2875 Eyde Pkwy, East Lansing, MI 48823",42.7168439,-84.4543432,"2875 Eyde Parkway, Meridian Charter Township, MI 48823, United States of America",1,1,1
33915,Blended Learning Academies Credit Recovery High School,1754 E Clark Rd,Lansing,MI,48906,"1754 E Clark Rd, Lansing, MI 48906",42.81301625,-84.52794761,"1754 East Clark Road, DeWitt Charter Township, MI 48906, United States of America",1,1,1
33915,Blended Learning Academies Credit Recovery High School,30218 Plymouth Rd,Livonia,MI,48150,"30218 Plymouth Rd, Livonia, MI 48150",42.36900583,-83.3439696,"30218 Plymouth Road, Livonia, MI 48150, United States of America",1,1,1
34901,Noah Webster Academy,6403 Harwood Road,Ionia,MI,48846,"6403 Harwood Road, Ionia, MI 48846",42.89424514,-85.09461309,"6403 Harwood Road, Ionia, MI 48846, United States of America",1,1,1
35901,Sunrise Education Center,686 Aulerich Rd,East Tawas,MI,48730,"686 Aulerich Rd, East Tawas, MI 48730",44.29918402,-83.43406512,"686 Aulerich Road, Baldwin Township, MI 48730, United States of America",1,1,1
35902,Alternative Educational Academy of Iosco County,40 W M 55,Tawas City,MI,48763,"40 W M 55, Tawas City, MI 48763",44.2798297,-83.5196843,"M 55 East, Tawas City, MI 48764, United States of America",0.483,1,0.81
37900,Flextech High School Shepherd,380 W Blanchard Rd,Shepherd,MI,48883,"380 W Blanchard Rd, Shepherd, MI 48883",43.524384,-84.69253,"Coe Township (Shepherd), MI, United States of America",0.25,1,
37901,Renaissance Public School Academy,2797 S Isabella Rd,Mount Pleasant,MI,48858,"2797 S Isabella Rd, Mount Pleasant, MI 48858",43.59953393,-84.74756164,"2797 South Isabella Road, Mount Pleasant, MI 48858, United States of America",1,1,1
37902,Morey Montessori Public School Academy,418 W Blanchard Rd,Shepherd,MI,48883,"418 W Blanchard Rd, Shepherd, MI 48883",43.543728,-84.673886,"Coe Township, MI 48883, United States of America",0.25,1,
37902,Morey Montessori Public School Academy,418 West Blanchard Rd,Shepherd,MI,48883,"418 West Blanchard Rd, Shepherd, MI 48883",43.543728,-84.673886,"Coe Township, MI 48883, United States of America",0.25,1,
38900,Jackson Preparatory & Early College,2111 Emmons Rd,Jackson,MI,49201,"2111 Emmons Rd, Jackson, MI 49201",42.167426,-84.405481,"2111 Emmons Road, Summit Township, MI 49201, United States of America",1,1,1
38901,Da Vinci Schools,2985 Springport Rd,Jackson,MI,49202,"2985 Springport Rd, Jackson, MI 49202",42.2785554,-84.4317379,"Springport Road, Blackman Charter Township, MI 49202, United States of America",0.5,1,1
38901,Da Vinci Schools,555 Murphy Street,Jackson,MI,49202,"555 Murphy Street, Jackson, MI 49202",42.267179,-84.41085,"Jackson (Jackson), MI 49202, United States of America",0.25,1,
38901,Da Vinci Schools,2985 Springport Rd,Jackson,MI,49201,"2985 Springport Rd, Jackson, MI 49201",42.276502,-84.4525166,"2985 Springport Road, Blackman Charter Township, MI 49201, United States of America",1,1,1
38901,Da Vinci Schools,559 Murphy St,Jackson,MI,49202,"559 Murphy St, Jackson, MI 49202",42.267179,-84.41085,"Jackson (Jackson), MI 49202, United States of America",0.25,1,
38902,Paragon Charter Academy,3750 Mccain Rd,Jackson,MI,49201,"3750 Mccain Rd, Jackson, MI 49201",42.23491425,-84.46582161,"Paragon Charter Academy, 3750 McCain Road, Summit Township, MI 49201, United States of America",1,1,1
